,epochs,k_max,k_min,nModels,seed,train,valid,valid_avg
61,64,4,2,2,9199,0.17930386166030454,0.492747991821341,0.4561800320568486
62,66,4,2,2,9199,0.17552650897188,0.49237062840890733,0.4545810900258732
63,68,4,2,2,9199,0.17316576803293823,0.4923306132331274,0.45688312761562394
64,70,4,2,2,9199,0.17119214682930994,0.496625894158196,0.45743765547263904
65,72,4,2,2,9199,0.16615443838168328,0.4963422070948085,0.4578745477262416
66,74,4,2,2,9199,0.16453827457177805,0.494665578292507,0.45676875400558187
67,76,4,2,2,9199,0.16332426458832525,0.5016679616197564,0.4591402847307518
68,78,4,2,2,9199,0.15936454418775756,0.4953580856043677,0.4579684501734484
69,80,4,2,2,9199,0.1544448048535356,0.4996050059825907,0.46046861371905695
70,82,4,2,2,9199,0.15263394245944628,0.5002269070359093,0.4607085789292228
71,84,4,2,2,9199,0.15121363090689882,0.5034903440343844,0.45907357662032033
72,86,4,2,2,9199,0.14951301104309309,0.502430236048623,0.4593035641854498
73,88,4,2,2,9199,0.14686485192114856,0.5075446792883129,0.46156827258586786
74,90,4,2,2,9199,0.14421951035533107,0.5087026675248346,0.4645121277560651
75,92,4,2,2,9199,0.1425121354456215,0.508975341833341,0.463146251446792
76,94,4,2,2,9199,0.14021439434665664,0.5092500004705472,0.4638790478479757
77,96,4,2,2,9199,0.13754265515087513,0.5103322018637063,0.46216394961742335
78,98,4,2,2,9199,0.13489299857788717,0.5085211559242188,0.46186916989504384
79,100,4,2,2,9199,0.13366763991802344,0.5115621567549906,0.4649672710824574
80,22,4,2,3,9200,0.2886050965822166,0.4847314965091742,0.4429163356851706
81,24,4,2,3,9200,0.2822330641591728,0.4830318200812992,0.4422955515944139
82,26,4,2,3,9200,0.2760461323312056,0.481798093699615,0.44206104993235584
83,28,4,2,3,9200,0.27177825986240245,0.48405011798701736,0.4405342710619508
84,30,4,2,3,9200,0.26499393672135074,0.48452242421367986,0.44092053248349616
85,32,4,2,3,9200,0.25928259967923734,0.4856969198190079,0.44082266322038977
86,34,4,2,3,9200,0.25472324314449085,0.48781352971933867,0.4413497821864833
87,36,4,2,3,9200,0.2494878387182112,0.48804229414050276,0.4409873284996131
88,38,4,2,3,9200,0.24643907941108625,0.4909351765998261,0.4414369696103836
89,40,4,2,3,9200,0.24221569469054305,0.48787207804374977,0.4406850057319041
90,42,4,2,3,9200,0.23694520128384697,0.48780440090652427,0.44140296941753726
91,44,4,2,3,9200,0.23221284502253023,0.4887296595327301,0.44214655001509456
92,46,4,2,3,9200,0.22814852219544246,0.4901757181857999,0.4414463818891174
93,48,4,2,3,9200,0.22562670760794099,0.49256335131636547,0.4430404457889651
94,50,4,2,3,9200,0.22060364391405643,0.49194521676648423,0.44171138239493796
95,52,4,2,3,9200,0.21833394528859865,0.49943312198067674,0.44320277375314554
96,54,4,2,3,9200,0.2144822104428903,0.49725643216670484,0.44210042023418383
97,56,4,2,3,9200,0.2091586520809783,0.4953591277722218,0.4433290536997068
98,58,4,2,3,9200,0.20812056816686925,0.4985530368011397,0.44430172868996026
99,60,4,2,3,9200,0.20451187456417536,0.5003221521050303,0.4445885359381749
100,62,4,2,3,9200,0.19853807209377128,0.5008916362145219,0.44320520767659843
101,64,4,2,3,9200,0.19734644286600342,0.4990855369886011,0.4447706870053385
102,66,4,2,3,9200,0.19483648881403176,0.5011992986428732,0.44335492956064576
103,68,4,2,3,9200,0.19146047328204535,0.5037174636239824,0.44630766134388333
104,70,4,2,3,9200,0.18937244843429632,0.5056767555699283,0.4461742671296719
105,72,4,2,3,9200,0.1852246986805176,0.5070610549998278,0.44638749233826286
106,74,4,2,3,9200,0.18181014061444145,0.504731901396925,0.4449123607271643
107,76,4,2,3,9200,0.1797863536057529,0.5046330510364411,0.4462841004184234
108,78,4,2,3,9200,0.17803741986500163,0.506701491365808,0.44683310434322343
109,80,4,2,3,9200,0.17441235024780924,0.5077474997619298,0.44753109284021236
110,82,4,2,3,9200,0.17152039791762413,0.506460424887232,0.4468516103208595
