,mb,mf,nModels,ntree,seed,tc,valid,valid_avg
189,5,40,18,200,112250,13,0.45887487380116626,0.4517436556968934
190,5,40,18,220,112250,13,0.45737492036679955,0.44979029904686874
191,5,40,18,240,112250,13,0.45689204495101404,0.44845080882688165
192,5,40,18,260,112250,13,0.4564953435844753,0.4476023339396691
193,5,40,18,280,112250,13,0.4564432810189232,0.4471386614272316
194,5,40,18,300,112250,13,0.4561970855212412,0.4470149451753725
195,5,40,18,320,112250,13,0.4563632831440226,0.4471753648030245
196,5,40,18,340,112250,13,0.4567000939563381,0.4474895587846599
197,5,40,18,360,112250,13,0.45712495090290106,0.4479992779016155
198,5,40,19,160,112251,13,0.46760617495837886,0.4582920229938783
199,5,40,19,180,112251,13,0.46426179817283453,0.45451624329287404
200,5,40,19,200,112251,13,0.4615360973272413,0.45180593191790575
201,5,40,19,220,112251,13,0.4604354768486452,0.44986912149094277
202,5,40,19,240,112251,13,0.4591330195342401,0.4485242781662214
203,5,40,19,260,112251,13,0.45825795618710563,0.44765907157462653
204,5,40,19,280,112251,13,0.45791789216883455,0.4471884744236499
205,5,40,19,300,112251,13,0.4582109368142009,0.44707050898976924
206,5,40,19,320,112251,13,0.45817923142362094,0.44720769455950365
207,5,40,19,340,112251,13,0.45856287704425674,0.4475142490976019
208,5,40,19,360,112251,13,0.45926537163919445,0.4480220542688694
209,5,40,20,160,112252,13,0.46575796838560596,0.4582646033227572
210,5,40,20,180,112252,13,0.46206196507867114,0.4544845047372565
211,5,40,20,200,112252,13,0.4597277268845445,0.4517831284497145
212,5,40,20,220,112252,13,0.4583819297799281,0.44987117526202286
213,5,40,20,240,112252,13,0.45773632161363964,0.44854994279070354
214,5,40,20,260,112252,13,0.45770024434574663,0.4477071629964561
215,5,40,20,280,112252,13,0.45751007784604036,0.44723376810309434
216,5,40,20,300,112252,13,0.45767383020866226,0.44712027762848866
217,5,40,20,320,112252,13,0.4575543280597046,0.4472382004349129
218,5,40,20,340,112252,13,0.4579954652235906,0.4475342514703294
219,5,40,20,360,112252,13,0.458292107861467,0.44801650651346575
220,5,40,1,160,112233,15,0.4623339135632161,0.4623339205399448
221,5,40,1,180,112233,15,0.45912507462420077,0.4591250821936394
222,5,40,1,200,112233,15,0.4571905612353741,0.4571905686252771
223,5,40,1,220,112233,15,0.45646238665550803,0.4564623940685824
224,5,40,1,240,112233,15,0.45559449251622103,0.4555944993959256
225,5,40,1,260,112233,15,0.455840448652846,0.4558404551223263
226,5,40,1,280,112233,15,0.45623783157427367,0.456237839231877
227,5,40,1,300,112233,15,0.45685702946804685,0.45685703720458043
228,5,40,1,320,112233,15,0.45782184120625435,0.4578218485294634
229,5,40,1,340,112233,15,0.4589797914944131,0.45897979915161424
230,5,40,1,360,112233,15,0.460282771622234,0.4602827783854514
231,5,40,2,160,112234,15,0.4611240638720608,0.45746215371041
232,5,40,2,180,112234,15,0.45832170439355874,0.4543645436627943
233,5,40,2,200,112234,15,0.45645523013759237,0.4523589721157478
234,5,40,2,220,112234,15,0.4556022582000039,0.45142972793403746
235,5,40,2,240,112234,15,0.4556617185139817,0.4508512817356051
236,5,40,2,260,112234,15,0.45547145949184187,0.4507040469831144
237,5,40,2,280,112234,15,0.4557038852962988,0.45094466108842707
238,5,40,2,300,112234,15,0.4561857690541637,0.45135788902284585
239,5,40,2,320,112234,15,0.4571428186619107,0.45211977135287584
240,5,40,2,340,112234,15,0.45818076482927694,0.4531516905140333
241,5,40,2,360,112234,15,0.4594453675665215,0.4543195153086462
242,5,40,3,160,112235,15,0.4651525403557244,0.4571185753167334
243,5,40,3,180,112235,15,0.46242088583233665,0.4540903538977906
244,5,40,3,200,112235,15,0.4607848002478836,0.4520882207237181
245,5,40,3,220,112235,15,0.45934483279361105,0.45086735263536565
246,5,40,3,240,112235,15,0.45828872390917097,0.44998129568264317
247,5,40,3,260,112235,15,0.45839147541086556,0.4498268527508112
248,5,40,3,280,112235,15,0.45848638024853045,0.4499077764969467
249,5,40,3,300,112235,15,0.459510498011736,0.45042697876209314
250,5,40,3,320,112235,15,0.46024689175361255,0.45108048731055306
251,5,40,3,340,112235,15,0.4612836208393288,0.4520507497669853
252,5,40,3,360,112235,15,0.461801097019627,0.45290504328082415
253,5,40,4,160,112236,15,0.4619247529296487,0.45625832683987994
254,5,40,4,180,112236,15,0.45933533543590255,0.45327170450009235
255,5,40,4,200,112236,15,0.45751537117610763,0.4512422572853294
256,5,40,4,220,112236,15,0.45636458485149023,0.4499650111733009
257,5,40,4,240,112236,15,0.4559874303551067,0.4491343067960687
258,5,40,4,260,112236,15,0.4556140294609965,0.44887592807286014
259,5,40,4,280,112236,15,0.4561237024497791,0.4490023115863123
260,5,40,4,300,112236,15,0.45678936799845515,0.44948917504014174
261,5,40,4,320,112236,15,0.45785554486544905,0.4502173240309309
262,5,40,4,340,112236,15,0.4589430482729082,0.4511514903278435
263,5,40,4,360,112236,15,0.4600520793933279,0.45205485056274125
264,5,40,5,160,112237,15,0.46162190406468584,0.4555972186352204
265,5,40,5,180,112237,15,0.459305619352457,0.45269007055574867
266,5,40,5,200,112237,15,0.45721272520324263,0.45057957989779523
267,5,40,5,220,112237,15,0.45586099067463176,0.44922801638715526
268,5,40,5,240,112237,15,0.4555875260023672,0.4484368826248686
269,5,40,5,260,112237,15,0.4556359708727213,0.4481888026658064
270,5,40,5,280,112237,15,0.45610094105538995,0.44831916818462303
271,5,40,5,300,112237,15,0.45638255158376356,0.4487087579028944
272,5,40,5,320,112237,15,0.45725326936843474,0.4494148994488985
273,5,40,5,340,112237,15,0.458461186612085,0.4503680677081182
274,5,40,5,360,112237,15,0.45987223733954397,0.45129919221354614
275,5,40,6,160,112238,15,0.4629494013142202,0.45536492734851625
276,5,40,6,180,112238,15,0.4603183060378742,0.45246967768255786
277,5,40,6,200,112238,15,0.45824862819456436,0.45032469460955066
278,5,40,6,220,112238,15,0.45711011974782767,0.44894962834719376
279,5,40,6,240,112238,15,0.45729153705135617,0.44827562660836523
280,5,40,6,260,112238,15,0.456875302917999,0.4479633739144843
281,5,40,6,280,112238,15,0.4570321199731998,0.4480308198020166
282,5,40,6,300,112238,15,0.4578560452271189,0.44843357934628947
283,5,40,6,320,112238,15,0.45923742815636526,0.4492085996902095
284,5,40,6,340,112238,15,0.4603346362255283,0.4501501821580829
285,5,40,6,360,112238,15,0.46207512685122054,0.45115080344292674
286,5,40,7,160,112239,15,0.4640436685713714,0.45536917860660153
287,5,40,7,180,112239,15,0.4606808120131937,0.45235518024932053
288,5,40,7,200,112239,15,0.45866426250919173,0.45018945437569774
289,5,40,7,220,112239,15,0.4579638289118383,0.4488665085127739
290,5,40,7,240,112239,15,0.45722820862245694,0.4481438215350603
291,5,40,7,260,112239,15,0.4573399686582069,0.4478625607512978
292,5,40,7,280,112239,15,0.45769278647523737,0.4479260061007512
293,5,40,7,300,112239,15,0.45838427284514927,0.4483308687214222
294,5,40,7,320,112239,15,0.45906715744500426,0.4490500249928804
295,5,40,7,340,112239,15,0.460163264414451,0.44998038049347366
296,5,40,7,360,112239,15,0.46132374011495964,0.45096208529264775
297,5,40,8,160,112240,15,0.46261150961750697,0.45515455645896846
298,5,40,8,180,112240,15,0.45907458176656557,0.4520714554577373
299,5,40,8,200,112240,15,0.45781388870576184,0.44999138884827455
300,5,40,8,220,112240,15,0.4571177412782495,0.44870687843279183
301,5,40,8,240,112240,15,0.45645728562878635,0.44797463577363095
302,5,40,8,260,112240,15,0.45674047943934687,0.447723129823253
303,5,40,8,280,112240,15,0.4567619147331913,0.44774938699144723
304,5,40,8,300,112240,15,0.45721382033710045,0.448128236678038
305,5,40,8,320,112240,15,0.4589123987709699,0.4489230860732331
306,5,40,8,340,112240,15,0.4599153459823321,0.4498247000505176
307,5,40,8,360,112240,15,0.46087478177067037,0.45078319899397834
308,5,40,9,160,112241,15,0.4627346349285508,0.4550837905870147
309,5,40,9,180,112241,15,0.45985829126052313,0.4519764810587904
310,5,40,9,200,112241,15,0.45800568694033816,0.4498899957512898
311,5,40,9,220,112241,15,0.456675837845375,0.44857040303910956
312,5,40,9,240,112241,15,0.4558370468806392,0.44780076612514097
313,5,40,9,260,112241,15,0.4561306113529709,0.44756779746638425
314,5,40,9,280,112241,15,0.45644211603795437,0.4476049362692009
315,5,40,9,300,112241,15,0.4564083100802751,0.4479111088326941
316,5,40,9,320,112241,15,0.4575466551486455,0.4487220332976661
317,5,40,9,340,112241,15,0.458796379680027,0.4496261608315096
318,5,40,9,360,112241,15,0.46030297648467056,0.4506068356112153
319,5,40,10,160,112242,15,0.462995580697845,0.4550207559150532
320,5,40,10,180,112242,15,0.4607809415831068,0.4519827026326842
321,5,40,10,200,112242,15,0.45885960057481195,0.4498987302086273
322,5,40,10,220,112242,15,0.45732383823475803,0.4485214175778287
323,5,40,10,240,112242,15,0.45698808080700837,0.4477650105570842
324,5,40,10,260,112242,15,0.45745622813900694,0.4475810092909217
325,5,40,10,280,112242,15,0.458036045695732,0.44762977508581125
326,5,40,10,300,112242,15,0.458693793898359,0.4479435789748155
327,5,40,10,320,112242,15,0.45995745585304604,0.4487672338986557
328,5,40,10,340,112242,15,0.46098893064347035,0.4496597467552928
329,5,40,10,360,112242,15,0.4622468508711267,0.4506286785454395
330,5,40,11,160,112243,15,0.46337377839067806,0.4549917545956567
331,5,40,11,180,112243,15,0.460133894842661,0.4519117067434321
332,5,40,11,200,112243,15,0.4584512437675739,0.4498464942143006
333,5,40,11,220,112243,15,0.4576840884790643,0.44849264953955037
334,5,40,11,240,112243,15,0.45759422789571025,0.4477630747056103
335,5,40,11,260,112243,15,0.4575694731385342,0.44757703824978823
336,5,40,11,280,112243,15,0.45795327451191026,0.4476323287312549
337,5,40,11,300,112243,15,0.45859246786559393,0.4479506171541781
338,5,40,11,320,112243,15,0.45949978506299494,0.4487756965007316
339,5,40,11,340,112243,15,0.4608813048161054,0.4496945905411565
340,5,40,11,360,112243,15,0.4621605634286964,0.450651581422663
341,5,40,12,160,112244,15,0.4631660667182387,0.45497203979416617
342,5,40,12,180,112244,15,0.46027982925578553,0.45187885392591837
343,5,40,12,200,112244,15,0.4584987895809248,0.4498121827289306
344,5,40,12,220,112244,15,0.45724508522925117,0.44843771620286726
345,5,40,12,240,112244,15,0.4569008310767281,0.44771745470447655
346,5,40,12,260,112244,15,0.45690065834801236,0.44752024212626207
347,5,40,12,280,112244,15,0.4574131610877765,0.4475893258643137
348,5,40,12,300,112244,15,0.45789365505300395,0.44789428442829543
349,5,40,12,320,112244,15,0.45933570333480417,0.44874494334745507
350,5,40,12,340,112244,15,0.4602332721045186,0.44963543677828915
351,5,40,12,360,112244,15,0.4611390372100352,0.45056722738684946
