,epochs,nModels,seed,train,valid,valid_avg
104,110,2,3820,0.15854824827914252,0.4962555830835549,0.4587135883466533
105,112,2,3820,0.15307433592597716,0.4911501370747514,0.4593178084632618
106,114,2,3820,0.15327884213828116,0.4965730122901499,0.4592667821351625
107,116,2,3820,0.15278695381919633,0.5009732719801888,0.4623130420161372
108,118,2,3820,0.14698758509051135,0.4933067313315273,0.4582353141701808
109,120,2,3820,0.1451981971367646,0.4920732349872799,0.4572695746405063
110,122,2,3820,0.1476606324907332,0.5062643611713923,0.4662534057482953
111,124,2,3820,0.14440873749667493,0.5017654394820934,0.4609131728878398
112,126,2,3820,0.1446213100497442,0.4999917196235813,0.4616134081859778
113,128,2,3820,0.13910714832676827,0.4988729098037286,0.4630479694024567
114,130,2,3820,0.13919464631166964,0.5096128052220299,0.4679331939722013
115,132,2,3820,0.1378781056403787,0.5101287058787394,0.4682763441811762
116,134,2,3820,0.13384057035991878,0.5134680703944714,0.4680688394447104
117,136,2,3820,0.13543499073207513,0.5073385240050663,0.4665061836645462
118,138,2,3820,0.13146024642455892,0.5154444695337178,0.4701640149805654
119,140,2,3820,0.12853158561070205,0.5069687159263093,0.4682480817793391
120,22,3,3821,0.3262063833467096,0.4696464797204586,0.4478816470270485
121,24,3,3821,0.3193908246947242,0.4677100510345353,0.4457480656087412
122,26,3,3821,0.31335907643837946,0.4684821472231343,0.4451894027804437
123,28,3,3821,0.3089144596854922,0.4678077828778672,0.4452201210166786
124,30,3,3821,0.3050527088244016,0.4685981552547328,0.4442766845535801
125,32,3,3821,0.29959983460448786,0.4715761212234818,0.4432694261324361
126,34,3,3821,0.2939279349581329,0.4689650086093606,0.4431262186102928
127,36,3,3821,0.2892052454632084,0.4697939743881293,0.4432751382411386
128,38,3,3821,0.2833480736098255,0.4661823278102418,0.4414254220596304
129,40,3,3821,0.2811988907071261,0.4698010534700041,0.4434758234139756
130,42,3,3821,0.27650742773369685,0.470471913422868,0.44318645434608006
131,44,3,3821,0.2715024375752373,0.4681321804044967,0.4412327584798544
132,46,3,3821,0.26525992787566177,0.4697462601771814,0.4404941345336151
133,48,3,3821,0.2652580891618443,0.4705441173636801,0.4411080876686843
134,50,3,3821,0.26020250348718155,0.4704950921435829,0.4397080221054739
135,52,3,3821,0.2564285497734693,0.4704349144252125,0.4404659788896215
136,54,3,3821,0.2539520939112898,0.4725522310254748,0.4407277104829033
137,56,3,3821,0.25162908509007303,0.474416672382479,0.4423324120233312
138,58,3,3821,0.246757459743834,0.472016226075653,0.4394237943113467
139,60,3,3821,0.24294257873669836,0.4723063581008147,0.4400093541766247
140,62,3,3821,0.2396676349257152,0.4748195247479474,0.4401143436689819
141,64,3,3821,0.23399814621541945,0.4731589503053724,0.43919811407610426
142,66,3,3821,0.2324331108023965,0.4751434502585106,0.4403339398634845
143,68,3,3821,0.22888113703680504,0.4736381394044217,0.4405495782599251
144,70,3,3821,0.2263308910945169,0.4768749540858657,0.4400619929146584
145,72,3,3821,0.22381638046300775,0.4783930034432781,0.4404332364908887
146,74,3,3821,0.22085368010044906,0.478119029459729,0.4407464413284247
147,76,3,3821,0.2174623401457645,0.4800441302657374,0.4382084654123032
148,78,3,3821,0.21240551841789612,0.4780398487018852,0.4382706950255308
149,80,3,3821,0.2101525485233215,0.4796126020929983,0.43870992497956585
150,82,3,3821,0.20757272134615226,0.4797809089395516,0.4390993617578432
151,84,3,3821,0.2027527728220192,0.4817702656804098,0.4387949334148008
152,86,3,3821,0.20113220890762065,0.4845873869725978,0.4407810737030113
153,88,3,3821,0.19908825651513212,0.4832573473457827,0.4381568058655175
154,90,3,3821,0.1953359132934133,0.4816330132049041,0.4397128942095357
155,92,3,3821,0.1933988608408591,0.4888211436888784,0.4415726572312427
156,94,3,3821,0.19153750567098848,0.4905715102116163,0.44136855351175946
157,96,3,3821,0.1899387444836832,0.4898341589986285,0.44294698471514177
158,98,3,3821,0.18582517026416198,0.4896306773517319,0.4428057065309262
159,100,3,3821,0.18280804947197613,0.4877078629030542,0.4423127381428285
160,102,3,3821,0.18149341560241986,0.4906769185825446,0.4447974947794969
161,104,3,3821,0.17770821607786352,0.49202390487884,0.4442334144055723
162,106,3,3821,0.17655744898770742,0.4950093836324802,0.4456013189937968
163,108,3,3821,0.1743248257989001,0.493792458082623,0.4437117963496289
164,110,3,3821,0.1701786371694037,0.4972935609748445,0.4442809797625338
165,112,3,3821,0.16687935631281306,0.4929079886355093,0.4433764691687411
166,114,3,3821,0.16619013421097012,0.4945675699092811,0.4435675341188411
167,116,3,3821,0.16526325573285233,0.5001588103397655,0.4474070936404294
168,118,3,3821,0.16209425921655446,0.4987451056438414,0.4433382865843013
169,120,3,3821,0.1590143346710989,0.4966424404566716,0.4425630326418109
170,122,3,3821,0.1579408818462674,0.5012626199803384,0.4489036104118401
