,m,nModels,ntree,seed,train,train_avg,valid,valid_avg
0,100,1,140,12398,0.12593986766767332,0.12593987394740294,0.4819820952311372,0.4819821023370886
1,100,1,160,12398,0.10857215541121128,0.10857216117039108,0.4800454827047742,0.4800454904735205
2,100,1,180,12398,0.09520704161485276,0.0952070477352709,0.4795089982859368,0.4795090050235881
3,100,1,200,12398,0.08446386757635951,0.08446387348761822,0.4801612371366413,0.48016124449996395
4,100,1,220,12398,0.07520243747077297,0.07520244282022262,0.4810963835215317,0.4810963907302463
5,100,1,240,12398,0.06786837714519707,0.06786838231695166,0.4822829801450158,0.4822829877045496
6,100,1,260,12398,0.06127970088092481,0.061279706073045136,0.4842934032459394,0.4842934102953981
7,100,2,140,12399,0.1274277207850287,0.12598939617996685,0.4812408319011721,0.4677998083266075
8,100,2,160,12399,0.11041773234525486,0.10895826933100228,0.4794273814370739,0.4647822990797758
9,100,2,180,12399,0.09685060654861408,0.09560448883119804,0.4794582743554594,0.4637993741625347
10,100,2,200,12399,0.08536687842926312,0.0845790985975615,0.4797227922502174,0.4634748984701132
11,100,2,220,12399,0.07638187764202946,0.07551694663194616,0.4806182436472857,0.4636857811107417
12,100,2,240,12399,0.06879770973524894,0.06810612941977168,0.4815541459547762,0.4642398546537794
13,100,2,260,12399,0.062374164120565435,0.06163666545395328,0.4828719000161456,0.4652461782781349
14,100,3,140,12400,0.12363504300428398,0.12476133011259252,0.4849277371916737,0.4644242657363232
15,100,3,160,12400,0.10679050027671187,0.10788763954870767,0.483239172272143,0.4612876198654761
16,100,3,180,12400,0.09327616168433334,0.0945571078954351,0.4841457873742369,0.46033667709676207
17,100,3,200,12400,0.08297096613949402,0.08382469198663668,0.4841779891077399,0.4596359481680067
18,100,3,220,12400,0.07456392211320366,0.0750208419115383,0.4852310397384865,0.4596602562380525
19,100,3,240,12400,0.06692923388398232,0.06757113632460199,0.4871994027370002,0.4601766144227031
20,100,3,260,12400,0.061003081864692166,0.061306827074817764,0.4887081773000506,0.460997641298175
21,100,4,140,12401,0.12217250304447776,0.12376332438321162,0.4861698189767015,0.4624338244426421
22,100,4,160,12401,0.10546163843370164,0.10701623819900892,0.4841643053238116,0.4591879502700228
23,100,4,180,12401,0.09202097307456926,0.09371931739719586,0.4840431940405899,0.4580385693126644
24,100,4,200,12401,0.08110853248936735,0.08298437502579763,0.4844189007005354,0.4571888490612128
25,100,4,220,12401,0.07255800855098814,0.07427595001111682,0.4853106764148933,0.457061730256927
26,100,4,240,12401,0.06547662501200957,0.06694221272479625,0.4871336231148645,0.4575314451014793
27,100,4,260,12401,0.059217218833574524,0.0606965356731338,0.4888027577367626,0.4582380502981229
28,100,5,140,12402,0.1222760833808138,0.1231829981691785,0.4863271374377029,0.4608505703425673
29,100,5,160,12402,0.10627307584941856,0.10665303617921293,0.4844642525210298,0.4575261675942908
30,100,5,180,12402,0.0925029105826113,0.09331107831737802,0.4842766658033165,0.4562255732690229
31,100,5,200,12402,0.08209141154016864,0.08267611769503062,0.4848106977952536,0.4552656226946538
32,100,5,220,12402,0.07334731388801488,0.07398466447567646,0.4863418492020259,0.4550878611439918
33,100,5,240,12402,0.06645218966935418,0.06675847340125524,0.4883086768762231,0.4554453867369122
34,100,5,260,12402,0.060336674685234015,0.0605540376652676,0.4902475997554237,0.4560511605621523
35,100,6,140,12403,0.12375306549001612,0.12305272915583287,0.4872284225576956,0.4601240119274378
36,100,6,160,12403,0.1069060744373876,0.10652542838489094,0.4864649436370573,0.4569443056323087
37,100,6,180,12403,0.09378332654265653,0.0932572780835728,0.4869505906195052,0.4556466220314898
38,100,6,200,12403,0.08348133120403232,0.08270512768863343,0.4876718450614829,0.454704251106008
39,100,6,220,12403,0.07447415654760227,0.07398286388272675,0.4886663347302294,0.4544347992739914
40,100,6,240,12403,0.06700188940281855,0.06673236332126575,0.4897417935806922,0.4546232360174807
41,100,6,260,12403,0.06076801488097395,0.060534681314599874,0.4913618812318666,0.455131575391981
42,100,7,140,12404,0.12721372795485889,0.12344937329248205,0.4846571082660074,0.4595255416977603
43,100,7,160,12404,0.1103861612216213,0.10692471866800064,0.4824439759131442,0.45622485551302394
44,100,7,180,12404,0.09710374074948827,0.09368652547785077,0.4818088862602327,0.4547802040915975
45,100,7,200,12404,0.08569575052884808,0.08303878828262401,0.4819148859061792,0.4537659714644421
46,100,7,220,12404,0.07622289245777678,0.07422892217313139,0.48282598408907895,0.45345619679385796
47,100,7,240,12404,0.06873590350665347,0.0669568844404825,0.4837192311600497,0.4535409115165007
48,100,7,260,12404,0.06237242121521117,0.06074532540121131,0.4850201378007985,0.4539503807085162
49,100,8,140,12405,0.12352388204806845,0.12328545422289976,0.4853258944330671,0.4592145876421794
50,100,8,160,12405,0.10728190121475052,0.10683622021235692,0.4841552821079982,0.4559284169101441
51,100,8,180,12405,0.09379454989039684,0.0935981571460428,0.4837569973327856,0.4543998079708489
52,100,8,200,12405,0.08286022391821403,0.08293525783333032,0.4838372793180469,0.4533622257680081
53,100,8,220,12405,0.07412288103170941,0.07414979350237984,0.4848260079892345,0.4530221119174167
54,100,8,240,12405,0.06696637746714675,0.06690392124422406,0.4857898125253522,0.4530290639216351
55,100,8,260,12405,0.06098981285778071,0.060731428142702264,0.4872896071047675,0.4533847179470418
56,100,9,140,12406,0.12602427120717954,0.12342960603821028,0.4890980301211954,0.4592829882334898
57,100,9,160,12406,0.108755082479685,0.10692789668229237,0.48768081513298706,0.4559953828966693
58,100,9,180,12406,0.09533238324449472,0.09369756837305346,0.4874845252412068,0.4543912979388726
59,100,9,200,12406,0.08487147501754137,0.08307587790889498,0.4880507945247651,0.4533587024211257
60,100,9,220,12406,0.07633843010946194,0.07433261763114761,0.4890563326988678,0.4530225835626551
61,100,9,240,12406,0.06880186065015001,0.06706590723491855,0.490222900634497,0.4529759572879923
62,100,9,260,12406,0.06265994381355808,0.06090509244406867,0.4919426753620408,0.4533337899255314
63,100,10,140,12407,0.1229271084708416,0.1232474828900596,0.4819487362563497,0.4587765187885495
64,100,10,160,12407,0.10576810663092777,0.10671203183962702,0.480066128521197,0.4554678888375947
65,100,10,180,12407,0.09210785640644606,0.0934622118809682,0.48014090308153295,0.4538538975839568
66,100,10,200,12407,0.08143194986330803,0.08285119620330655,0.4811008178541672,0.452856512498141
67,100,10,220,12407,0.07300786240809988,0.07415161924306687,0.482067687126696,0.4525139554027021
68,100,10,240,12407,0.06591422316564774,0.06691106162346776,0.4836507325112326,0.4524717476649296
69,100,10,260,12407,0.05958896740530825,0.060741305124104174,0.4853305121738584,0.4528528617220272
70,100,11,140,12408,0.12475204290606075,0.12325458093206933,0.4846592314940378,0.4585515635565018
71,100,11,160,12408,0.10770321798555108,0.10670361530077012,0.482430216594864,0.4551807075009615
72,100,11,180,12408,0.0943620504926403,0.09346888558051998,0.4822021105752376,0.4535404529936259
73,100,11,200,12408,0.08346925255077921,0.08284878249291162,0.4821631009509642,0.4524785355741585
74,100,11,220,12408,0.07483089779101193,0.07416631021732935,0.4826639678697375,0.4520877613913234
75,100,11,240,12408,0.06704538876029797,0.06688516483280701,0.4837941405643581,0.4520056382395467
76,100,11,260,12408,0.061028636002722236,0.0607358458277331,0.4851598567591714,0.4523657411548681
77,100,12,140,12409,0.12720459877542467,0.12345765344576075,0.4896888894761911,0.4587282115663348
